epoch,train_loss,val_loss,f1,accuracy,lr
1,0.6637209206819534,0.587496429681778,0.9411764705882353,0.9473684210526315,0.001
2,0.5698108226060867,0.3801877200603485,0.8666666666666666,0.8947368421052632,0.001
3,0.4291006699204445,0.16874162759631872,0.8852459016393442,0.9078947368421053,0.001
4,0.2124403454363346,0.09933264332357794,0.9032258064516129,0.9210526315789473,0.001
5,0.09672029316425323,0.20995580370072275,0.8275862068965517,0.868421052631579,0.001
6,0.05748930387198925,0.3319871622370556,0.8275862068965517,0.868421052631579,0.001
7,0.022443924564868212,0.36828586587216705,0.8275862068965517,0.868421052631579,0.001
8,0.025203034980222583,0.39053091396635864,0.8070175438596492,0.8552631578947368,0.001
9,0.017948191292816773,0.33244602888589725,0.8474576271186441,0.881578947368421,0.001
10,0.011685457749990746,0.5801667761406861,0.7636363636363637,0.8289473684210527,0.0005
11,0.01842513057636097,0.5310925148514798,0.7857142857142858,0.8421052631578947,0.0005
12,0.007712508057011291,0.43646828418422956,0.8275862068965517,0.868421052631579,0.0005
13,0.015892954805167392,0.5621573656972032,0.7636363636363637,0.8289473684210527,0.0005
14,0.00913356596720405,0.6032263528613839,0.7636363636363637,0.8289473684210527,0.0005
15,0.017582651344127953,0.4806067734971293,0.8070175438596492,0.8552631578947368,0.0005
16,0.021209972866927274,0.41540318648912944,0.8474576271186441,0.881578947368421,0.00025
17,0.014502741891192272,0.5023387470864691,0.7857142857142858,0.8421052631578947,0.00025
18,0.008422321334364824,0.5774851497553755,0.7857142857142858,0.8421052631578947,0.00025
19,0.008183399026165716,0.5827082406540285,0.7636363636363637,0.8289473684210527,0.00025
